Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,year_start,Company,Expenses,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,year_start,Price_start,Price_end,year_end,POSC,PE,ROSC,PayPrice,DAMT,DIVY,change
96.0,2392.0,168.0,2140.0,4796.0,1009.0,603.0,542.0,2642.0,4796.0,Mar 2012,ASIANPAINT,6243.0,141.0,31.0,99.0,1363.0,30.0,958.0,9.99,40.0,Mar 2013,340.45556640625,396.5914001464844,Mar 2013,9.979166666666666,34.0796362769019,24.916666666666668,11.748963432211838,399.6,1.1737214468779626,1.1648844644626843
413.0,22395.0,254176.0,8643.0,285628.0,2189.0,71.0,93192.0,190176.0,285628.0,Mar 2012,AXISBANK,6808.0,5420.0,13977.0,342.0,6288.0,33.0,4242.0,20.53,16.0,Mar 2013,185.4225311279297,160.2671661376953,Mar 2013,10.271186440677965,9.031784273157802,54.22518159806295,8.628940562223812,328.48,1.7715214974245488,0.8643349066738886
289.0,5752.0,125.0,4918.0,11084.0,1482.0,42.0,4883.0,4678.0,11084.0,Mar 2012,BAJAJ-AUTO,15783.0,461.0,22.0,146.0,4026.0,25.0,3004.0,103.81,43.0,Mar 2013,1321.21630859375,1495.50048828125,Mar 2013,10.39446366782007,12.727254682532992,19.903114186851212,3.254576841075137,4463.83,3.3785762187200996,1.1319119197620269
412.0,27064.0,408444.0,11400.0,447321.0,2342.0,0.0,83209.0,361771.0,447321.0,Mar 2012,BANKBARODA,7388.0,3373.0,19357.0,277.0,6026.0,17.0,5007.0,24.36,14.0,Mar 2013,114.3389892578125,86.84906768798828,Mar 2013,12.152912621359222,4.693718770846162,65.68932038834951,12.244292249630337,341.03999999999996,2.98270959200995,0.7595752616997539
1899.0,47531.0,15301.0,15593.0,80324.0,40441.0,4466.0,12338.0,23079.0,80324.0,Mar 2012,BHARTIARTL,27913.0,577.0,1396.0,5916.0,6956.0,18.0,5730.0,10.97,7.0,Mar 2013,215.93893432617188,262.4717102050781,Mar 2013,3.0173775671406005,19.68449720384429,25.029489204844655,3.241657194355987,76.79,0.35560979422085176,1.2154904395731587
490.0,24884.0,186.0,41275.0,66834.0,4297.0,1348.0,462.0,60728.0,66834.0,Mar 2012,BHEL,38076.0,1266.0,51.0,800.0,10302.0,32.0,7040.0,19.18,22.0,Mar 2013,121.89725494384766,68.98822784423828,Mar 2013,14.36734693877551,6.355435607082777,50.78367346938776,18.04798640472615,421.96,3.4616037924264753,0.5659539082813466
362.0,14552.0,22994.0,27699.0,65607.0,16612.0,1119.0,10917.0,36958.0,65607.0,Mar 2012,BPCL,207965.0,1560.0,1800.0,1885.0,1884.0,30.0,1311.0,6.04,30.0,Mar 2013,68.46874237060547,54.83122253417969,Mar 2013,3.6215469613259668,11.335884498444614,40.19889502762431,43.815614193140775,181.2,2.6464630972657024,0.8008212307652879
1907.0,30012.0,1250.0,96.0,33266.0,3.0,54.0,32675.0,534.0,33266.0,Mar 2012,CAIRN,90.0,240.0,111.0,0.0,48.0,7.0,44.0,0.23,0.0,Mar 2013,340.05,320.7,,0.023072889355007866,1478.4782608695652,15.737808075511275,0.0,0.0,0.0,0.9430966034406705
161.0,7390.0,13.0,1430.0,8993.0,3003.0,343.0,1035.0,4612.0,8993.0,Mar 2012,CIPLA,5359.0,111.0,27.0,282.0,1421.0,21.0,1124.0,14.0,14.0,Mar 2013,370.399169921875,403.3845825195313,Mar 2013,6.9813664596273295,26.457083565848215,45.900621118012424,3.779706094631069,196.0,0.5291588532483497,1.08905368930663
6316.0,13248.0,1146.0,10003.0,30714.0,101.0,73.0,6541.0,23998.0,30714.0,Mar 2012,COALINDIA,581.0,9115.0,379.0,7.0,8600.0,6.0,8065.0,12.77,78.0,Mar 2013,169.09234619140625,121.6397476196289,Mar 2013,1.276915769474351,13.241374016554914,2.097530082330589,46.128640211607745,996.06,5.890627355022309,0.7193687376123886
